2025-09-09 19:56:41 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:42 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:42 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:43 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:43 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:44 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:44 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:45 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:45 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:46 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:46 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:47 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:47 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:48 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:48 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:49 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:49 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:50 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:50 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:51 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:51 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:52 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:52 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:53 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:53 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:54 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:54 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:55 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:55 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:56 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:56 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:56:57 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:00 - spektroskopi - INFO - Spektroskopi uygulaması başlatılıyor...
2025-09-09 19:57:00 - spektroskopi - INFO - 1 formül içe aktarıldı
2025-09-09 19:57:00 - spektroskopi - INFO - Uygulama başlangıcında formüller yüklendi: 1
2025-09-09 19:57:00 - spektroskopi - INFO - 1 formül içe aktarıldı
2025-09-09 19:57:00 - spektroskopi - INFO - Uygulama başlangıcında formüller yüklendi: 1
2025-09-09 19:57:00 - spektroskopi - INFO - Uygulama ayarları yüklendi
2025-09-09 19:57:00 - spektroskopi - ERROR - LED durum görünüm güncelleme hatası: 'SpektroskpiGUI' object has no attribute 'led_status_frame'
2025-09-09 19:57:00 - spektroskopi - INFO - Sensör bilgileri güncellendi
2025-09-09 19:57:00 - spektroskopi - INFO - Otomatik bağlantı başlatılıyor...
2025-09-09 19:57:00 - spektroskopi - INFO - Ana GUI başlatıldı
2025-09-09 19:57:01 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:01 - spektroskopi - INFO - BLE tarama başlatılıyor (timeout: 10.0s)
2025-09-09 19:57:01 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:02 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:02 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:04 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:04 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:05 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:05 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:06 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:06 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:07 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:07 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:08 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:08 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:09 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:09 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:10 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:10 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:11 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:11 - spektroskopi - INFO - Tarama tamamlandı: 0 cihaz bulundu
2025-09-09 19:57:12 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:13 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:14 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:14 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:15 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:15 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:16 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:16 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:17 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:17 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:18 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:18 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:19 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:19 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:20 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:20 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:21 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:21 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:22 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:22 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:23 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:23 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:24 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:24 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:25 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:25 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:26 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:26 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:27 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:27 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
2025-09-09 19:57:28 - spektroskopi - INFO - Formül hesaplama tamamlandı: 1 formül, 2 iterasyon
